Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
TataPower,2010-02-05,97.85728974,100.11153527094868,96.73980608201197,99.07496643066406,2735443,0,0
TataPower,2010-02-08,100.11153314042939,102.60854745312474,97.10587656501299,99.02872467041016,4735698,0,0
TataPower,2010-02-09,98.22335997625977,100.94771551405259,97.88425500129532,100.2078628540039,2547643,0,0
TataPower,2010-02-10,100.57394347676873,100.57394347676873,97.79949120827493,98.26960754394531,4704952,0,0
TataPower,2010-02-11,98.64724238,99.41407486345909,97.10588198,97.56829071044922,11406449,0,0
TataPower,2010-02-15,98.24649887328066,98.78597781224491,95.26781545689293,95.53755187988281,3788502,0,0
TataPower,2010-02-16,97.14442749153257,97.14442749153257,94.79385148702661,95.30635070800781,7787426,0,0
TataPower,2010-02-17,95.94986123,97.99216850526527,95.94986123,97.29084777832031,4250162,0,0
TataPower,2010-02-18,97.49122934403728,98.23108215963732,94.67824468251253,96.56256103515625,4894814,0,0
TataPower,2010-02-19,95.25625722888867,96.53943976286668,94.80155607521738,95.59149932861328,2557353,0,0
TataPower,2010-02-22,97.10588926033314,97.45269583,96.18107173160496,96.68972015,2627694,0,0
TataPower,2010-02-23,96.79761042765234,97.41415948145556,95.64543933390713,96.47006989,2066781,0,0
TataPower,2010-02-24,96.33520098116959,98.08464900747751,95.71865802484719,96.94018555,4427724,0,0
TataPower,2010-02-25,94.81311242639987,98.03070779,94.81311242639987,97.82647705078125,2511261,0,0
TataPower,2010-02-26,97.79950156187374,97.79950156187374,92.37390015962688,93.49524688720703,12185690,0,0
TataPower,2010-03-02,93.40661765335417,99.03259289424336,92.19664239,98.2310791,12669059,0,0
TataPower,2010-03-03,99.03258418308532,103.92641382594763,98.52007895508885,102.8667221069336,8367871,0,0
TataPower,2010-03-04,102.88599854311386,104.02660520073658,100.68184929306932,103.17115020751953,6799112,0,0
TataPower,2010-03-05,103.11720904292247,103.81082222879049,102.1615670524527,102.6008529663086,3595946,0,0
TataPower,2010-03-08,102.88598493922963,104.18073174202758,102.88598493922963,103.74143981933594,3097302,0,0
TataPower,2010-03-09,103.19427954866124,103.81081644443307,101.7569506442884,102.55075073242188,1699783,0,0
TataPower,2010-03-10,102.5777194008011,105.19803139007274,101.97658563420076,103.48712158203125,3856086,0,0
TataPower,2010-03-11,104.11908881446624,104.8358187,101.78006544154721,102.38890075683594,3591127,0,0
TataPower,2010-03-12,103.19428356218798,104.65857397905737,102.4621261677842,104.2154312133789,3635779,0,0
TataPower,2010-03-15,104.21542083258439,104.80499014402955,103.27133734390925,104.72407531738281,6491407,0,0
TataPower,2010-03-16,104.80883304086399,107.12473950248848,103.66437576845283,106.71627807617188,8091120,0,0
TataPower,2010-03-17,107.04766850284149,107.58715347225744,104.51213423466648,105.03234100341797,5854476,0,0
TataPower,2010-03-18,105.42924397955086,106.17680438752303,103.08251895875655,103.56419372558594,2319254,0,0
TataPower,2010-03-19,104.23468120972225,105.7221003672949,103.76070801511477,104.75875091552734,2363947,0,0
TataPower,2010-03-22,103.81081568580221,105.48319363345615,102.09990570569019,102.97847747802734,3516735,0,0
